"Id","Name","Language"
"34000001","София","bg"
"34000002","Варна","bg"
"34000003","Пловдив","bg"
"34000004","Бургас","bg"
"34000005","Русе","bg"
"34000006","Стара Загора","bg"
"34000007","Плевен","bg"
"34000008","Сливен","bg"
"34000009","Перник","bg"
"34000010","Пазарджик","bg"
"34000011","Добрич","bg"
"34000012","Шумен","bg"
"34000013","Хасково","bg"
"34000014","Велико Търново","bg"
"34000015","Благоевград","bg"
"34000016","Ямбол","bg"
"34000017","Казанлък","bg"
"34000018","Асеновград","bg"
"34000019","Кюстендил","bg"
"34000020","Враца","bg"
"34000021","Габрово","bg"
"34000022","Търговище","bg"
"34000023","Кърджали","bg"
"34000024","Видин","bg"
"34000025","Разград","bg"
"34000026","Свищов","bg"
"34000027","Силистра","bg"
"34000028","Дупница","bg"
"34000029","Монтана","bg"
"34000030","Ловеч","bg"
"34000031","Димитровград","bg"
"34000032","Смолян","bg"
"34000033","Горна Оряховица","bg"
"34000034","Петрич","bg"
"34000035","Гоце Делчев","bg"
"34000036","Айтос","bg"
"34000037","Раковски","bg"
"34000038","Омуртаг","bg"
"34000039","Велинград","bg"
"34000040","Исперих","bg"
"34000041","Лом","bg"
"34000042","Карлово","bg"
"34000043","Панагюрище","bg"
"34000044","Ботевград","bg"
"34000045","Пещера","bg"
"34000046","Велики Преслав","bg"
"34000047","Поморие","bg"
"34000048","Несебър","bg"
"34000049","Лясковец","bg"
"34000050","Нови пазар","bg"
"34000051","Провадия","bg"
"34000052","Разлог","bg"
"34000053","Златоград","bg"
"34000054","Козлодуй","bg"
"34000055","Костинброд","bg"
"34000056","Банкя","bg"
"34000057","Стамболийски","bg"
"34000058","Етрополе","bg"
"34000059","Момчилград","bg"
"34000060","Девня","bg"
"34000061","Ракитово","bg"
"34000062","Сопот","bg"
"34000063","Септември","bg"
"34000064","Кричим","bg"
"34000065","Бяла","bg"
"34000066","Аксаково","bg"
"34000067","Белослав","bg"
"34000068","Елин Пелин","bg"
"34000069","Сливница","bg"
"34000070","Мадан","bg"
"34000071","Айдемир","bg"
"34000072","Девин","bg"
"34000073","Лозен","bg"
"34000074","Вършец","bg"
"34000075","Съединение","bg"
"34000076","Бистрица","bg"
"34000077","Божурище","bg"
"34000078","Суворово","bg"
"34000079","Перущица","bg"
"34000080","Долна баня","bg"
"34000081","Ветово","bg"
"34000082","Казичене","bg"
"34000083","Игнатиево","bg"
"34000084","Костандово","bg"
"34000085","Буковлък","bg"
"34000086","Койнаре","bg"
"34000087","Славяново","bg"
"34000088","Труд","bg"
"34000089","Калипетрово","bg"
"34000090","Сапарева баня","bg"
"34000091","Мало Конаре","bg"
"34000092","Върбица","bg"
"34000093","Мартен","bg"
"34000094","Дебелец","bg"
"34000095","Владая","bg"
"34000096","Първенец","bg"
"34000097","Сърница","bg"
"34000098","Свети Влас","bg"
"34000099","Рудозем","bg"
"34000100","Тополчане","bg"
"34000101","Брестовица","bg"
"34000102","Алеко Константиново","bg"
"34000103","Гулянци","bg"
"34000104","Николаево","bg"
"34000105","Рогош","bg"
"34000106","Баня","bg"
"34000107","Крън","bg"
"34000108","Тополи","bg"
"34000109","Панчарево","bg"
"34000110","Каменар","bg"
"34000111","Ивайло","bg"
"34000112","Гурково","bg"
"34000113","Сотиря","bg"
"34000114","Руен","bg"
"34000115","Каблешково","bg"
"34000116","Ветрен","bg"
"34000117","Долна Оряховица","bg"
"34000118","Волуяк","bg"
"34000119","Герман","bg"
"34000120","Бухово","bg"
"34000121","Калофер","bg"
"34000122","Калековец","bg"
"34000123","Николово","bg"
"34000124","Равда","bg"
"34000125","Гложене","bg"
"34000126","Ново село","bg"
"34000127","Куртово Конаре","bg"
"34000128","Скутаре","bg"
"34000129","Абланица","bg"
"34000130","Садово","bg"
"34000131","Чепинци","bg"
"34000132","Първомайци","bg"
"34000133","Драганово","bg"
"34000134","Огняново","bg"
"34000135","Вълкосел","bg"
"34000136","Раковски","bg"
"34000137","Килифарево","bg"
"34000138","Главиница","bg"
"34000139","Световрачене","bg"
"34000140","Брегово","bg"
"34000141","Ахелой","bg"
"34000142","Крушаре","bg"
"34000143","Градина","bg"
"34000144","Старцево","bg"
"34000145","Обзор","bg"
"34000146","Батановци","bg"
"34000147","Царацово","bg"
"34000148","Войводиново","bg"
"34000149","Борово","bg"
"34000150","Българово","bg"
"34000151","Петърч","bg"
"34000152","Черногорово","bg"
"34000153","Кокаляне","bg"
"34000154","Орешак","bg"
"34000155","Драгичево","bg"
"34000156","Острово","bg"
"34000157","Мокрище","bg"
"34000158","Яхиново","bg"
"34000159","Костиево","bg"
"34000160","Крайници","bg"
"34000161","Александрово","bg"
"34000162","Синитово","bg"
"34000163","Езерово","bg"
"34000164","Ресен","bg"
"34000165","Граф Игнатиево","bg"
"34000166","Селиминово","bg"
"34000167","Узунджово","bg"
"34000168","Бусманци","bg"
"34000169","Люben Каравелово","bg"
"34000170","Лесново","bg"
"34000171","Бял Извор","bg"
"34000172","Меричлери","bg"
"34000173","Поликраище","bg"
"34000174","Дивотино","bg"
"34000175","Равнец","bg"
"34000176","Кермен","bg"
"34000177","Кукорево","bg"
"34000178","Самораново","bg"
"34000179","Стожер","bg"
"34000180","Железница","bg"
"34000181","Слокощица","bg"
"34000182","Негован","bg"
"34000183","Оризаре","bg"
"34000184","Триводици","bg"
"34000185","Крепост","bg"
"34000186","Бистрица","bg"
"34000187","Гривица","bg"
"34000188","Мировяне","bg"
"34000189","Сарая","bg"
"34000190","Страцин","bg"
"34000191","Планиница","bg"
"34000192","Кривина","bg"
"34000193","Карагеоргиево","bg"
"34000194","Просеник","bg"
"34000195","Виноградец","bg"
"34000196","Тънково","bg"
"34000197","Маглен","bg"
"34000198","Царев брод","bg"
"34000199","Транак","bg"
"34000200","Ръжица","bg"
"34000201","Шипка","bg"
"34000202","Басарбово","bg"
"34000203","Карабунар","bg"
"34000204","Джерман","bg"
"34000205","Кошарица","bg"
"34000206","Константиново","bg"
"34000207","Бенковски","bg"
"34000208","Ябълчево","bg"
"34000209","Гълабец","bg"
"34000210","Червена вода","bg"
"34000211","Веселиново","bg"
"34000212","Бата","bg"
"34000213","Голямо ново","bg"
"34000214","Долни Богров","bg"
"34000215","Алдомировци","bg"
"34000216","Карапелит","bg"
"34000217","Ново село","bg"
"34000218","Белоградец","bg"
"34000219","Сандрово","bg"
"34000220","Габровница","bg"
"34000221","Ябълково","bg"
"34000222","Въглен","bg"
"34000223","Вардун","bg"
"34000224","Горни Богров","bg"
"34000225","Марчаево","bg"
"34000226","Зайчар","bg"
"34000227","Баница","bg"
"34000228","Войводово","bg"
"34000229","Малево","bg"
"34000230","Опълченско","bg"
"34000231","Семерджиево","bg"
"34000232","Звездица","bg"
"34000233","Маринка","bg"
"34000234","Гюльовца","bg"
"34000235","Глухар","bg"
"34000236","Бобошево","bg"
"34000237","Хаджиево","bg"
"34000238","Ваклиново","bg"
"34000239","Писарево","bg"
"34000240","Върбица","bg"
"34000241","Кладница","bg"
"34000242","Долен","bg"
"34000243","Паталеница","bg"
"34000244","Горски Извор","bg"
"34000245","Стефаново","bg"
"34000246","Борово","bg"
"34000247","Добромир","bg"
"34000248","Снягово","bg"
"34000249","Войсил","bg"
"34000250","Червен бряг","bg"
"34000251","Вресово","bg"
"34000252","Кадиево","bg"
"34000253","Виница","bg"
"34000254","Изворско","bg"
"34000255","Мортагоново","bg"
"34000256","Доброславци","bg"
"34000001","Sofia","de"
"34000002","Varna","de"
"34000003","Plowdiw","de"
"34000004","Burgas","de"
"34000005","Ruse","de"
"34000006","Stara Sagora","de"
"34000007","Pleven","de"
"34000008","Sliven","de"
"34000009","Pernik","de"
"34000010","Pazardzhik","de"
"34000011","Dobrich","de"
"34000012","Schumen","de"
"34000013","Chaskowo","de"
"34000014","Weliko Tarnowo","de"
"34000015","Blagoevgrad","de"
"34000016","Yambol","de"
"34000017","Kasanlak","de"
"34000018","Asenowgrad","de"
"34000019","Kjustendil","de"
"34000020","Wratza","de"
"34000021","Gabrowo","de"
"34000022","Targowische","de"
"34000023","Kardschali","de"
"34000024","Widin","de"
"34000025","Rasgrad","de"
"34000026","Swischtow","de"
"34000027","Silistra","de"
"34000028","Dupniza","de"
"34000029","Montana","de"
"34000030","Lowetsch","de"
"34000031","Dimitrowgrad","de"
"34000032","Smoljan","de"
"34000033","Gorna Orjachowiza","de"
"34000034","Petrich","de"
"34000035","Gotse Deltschew","de"
"34000036","Ajtos","de"
"34000037","Rakowski","de"
"34000038","Omurtag","de"
"34000039","Welingrad","de"
"34000040","Isperich","de"
"34000041","Lom","de"
"34000042","Karlowo","de"
"34000043","Panagjurischte","de"
"34000044","Botewgrad","de"
"34000045","Peschtera","de"
"34000046","Weliki Preslaw","de"
"34000047","Pomorie","de"
"34000048","Nesebar","de"
"34000049","Ljaskowetz","de"
"34000050","Nowi Pazar","de"
