GUID,Id,Name,Language
1,34000001,София,bg
2,34000002,Варна,bg
3,34000003,Пловдив,bg
4,34000004,Бургас,bg
5,34000005,Русе,bg
6,34000006,Стара Загора,bg
7,34000007,Плевен,bg
8,34000008,Сливен,bg
9,34000009,Перник,bg
10,34000010,Пазарджик,bg
11,34000011,Добрич,bg
12,34000012,Шумен,bg
13,34000013,Хасково,bg
14,34000014,Велико Търново,bg
15,34000015,Благоевград,bg
16,34000016,Ямбол,bg
17,34000017,Казанлък,bg
18,34000018,Асеновград,bg
19,34000019,Кюстендил,bg
20,34000020,Враца,bg
21,34000021,Габрово,bg
22,34000022,Търговище,bg
23,34000023,Кърджали,bg
24,34000024,Видин,bg
25,34000025,Разград,bg
26,34000026,Свищов,bg
27,34000027,Силистра,bg
28,34000028,Дупница,bg
29,34000029,Монтана,bg
30,34000030,Ловеч,bg
31,34000031,Димитровград,bg
32,34000032,Смолян,bg
33,34000033,Горна Оряховица,bg
34,34000034,Петрич,bg
35,34000035,Гоце Делчев,bg
36,34000036,Айтос,bg
37,34000037,Раковски,bg
38,34000038,Омуртаг,bg
39,34000039,Велинград,bg
40,34000040,Исперих,bg
41,34000041,Лом,bg
42,34000042,Карлово,bg
43,34000043,Панагюрище,bg
44,34000044,Ботевград,bg
45,34000045,Пещера,bg
46,34000046,Велики Преслав,bg
47,34000047,Поморие,bg
48,34000048,Несебър,bg
49,34000049,Лясковец,bg
50,34000050,Нови пазар,bg
51,34000051,Провадия,bg
52,34000052,Разлог,bg
53,34000053,Златоград,bg
54,34000054,Козлодуй,bg
55,34000055,Костинброд,bg
56,34000056,Банкя,bg
57,34000057,Стамболийски,bg
58,34000058,Етрополе,bg
59,34000059,Момчилград,bg
60,34000060,Девня,bg
61,34000061,Ракитово,bg
62,34000062,Сопот,bg
63,34000063,Септември,bg
64,34000064,Кричим,bg
65,34000065,Бяла,bg
66,34000066,Аксаково,bg
67,34000067,Белослав,bg
68,34000068,Елин Пелин,bg
69,34000069,Сливница,bg
70,34000070,Мадан,bg
71,34000071,Айдемир,bg
72,34000072,Девин,bg
73,34000073,Лозен,bg
74,34000074,Вършец,bg
75,34000075,Съединение,bg
76,34000076,Бистрица,bg
77,34000077,Божурище,bg
78,34000078,Суворово,bg
79,34000079,Перущица,bg
80,34000080,Долна баня,bg
81,34000081,Ветово,bg
82,34000082,Казичене,bg
83,34000083,Игнатиево,bg
84,34000084,Костандово,bg
85,34000085,Буковлък,bg
86,34000086,Койнаре,bg
87,34000087,Славяново,bg
88,34000088,Труд,bg
89,34000089,Калипетрово,bg
90,34000090,Сапарева баня,bg
91,34000091,Мало Конаре,bg
92,34000092,Върбица,bg
93,34000093,Мартен,bg
94,34000094,Дебелец,bg
95,34000095,Владая,bg
96,34000096,Първенец,bg
97,34000097,Сърница,bg
98,34000098,Свети Влас,bg
99,34000099,Рудозем,bg
100,34000100,Тополчане,bg
101,34000101,Брестовица,bg
102,34000102,Алеко Константиново,bg
103,34000103,Гулянци,bg
104,34000104,Николаево,bg
105,34000105,Рогош,bg
106,34000106,Баня,bg
107,34000107,Крън,bg
108,34000108,Тополи,bg
109,34000109,Панчарево,bg
110,34000110,Каменар,bg
111,34000111,Ивайло,bg
112,34000112,Гурково,bg
113,34000113,Сотиря,bg
114,34000114,Руен,bg
115,34000115,Каблешково,bg
116,34000116,Ветрен,bg
117,34000117,Долна Оряховица,bg
118,34000118,Волуяк,bg
119,34000119,Герман,bg
120,34000120,Бухово,bg
121,34000121,Калофер,bg
122,34000122,Калековец,bg
123,34000123,Николово,bg
124,34000124,Равда,bg
125,34000125,Гложене,bg
126,34000126,Ново село,bg
127,34000127,Куртово Конаре,bg
128,34000128,Скутаре,bg
129,34000129,Абланица,bg
130,34000130,Садово,bg
131,34000131,Чепинци,bg
132,34000132,Първомайци,bg
133,34000133,Драганово,bg
134,34000134,Огняново,bg
135,34000135,Вълкосел,bg
136,34000136,Раковски,bg
137,34000137,Килифарево,bg
138,34000138,Главиница,bg
139,34000139,Световрачене,bg
140,34000140,Брегово,bg
141,34000141,Ахелой,bg
142,34000142,Крушаре,bg
143,34000143,Градина,bg
144,34000144,Старцево,bg
145,34000145,Обзор,bg
146,34000146,Батановци,bg
147,34000147,Царацово,bg
148,34000148,Войводиново,bg
149,34000149,Борово,bg
150,34000150,Българово,bg
151,34000151,Петърч,bg
152,34000152,Черногорово,bg
153,34000153,Кокаляне,bg
154,34000154,Орешак,bg
155,34000155,Драгичево,bg
156,34000156,Острово,bg
157,34000157,Мокрище,bg
158,34000158,Яхиново,bg
159,34000159,Костиево,bg
160,34000160,Крайници,bg
161,34000161,Александрово,bg
162,34000162,Синитово,bg
163,34000163,Езерово,bg
164,34000164,Ресен,bg
165,34000165,Граф Игнатиево,bg
166,34000166,Селиминово,bg
167,34000167,Узунджово,bg
168,34000168,Бусманци,bg
169,34000169,Люben Каравелово,bg
170,34000170,Лесново,bg
171,34000171,Бял Извор,bg
